DOI,Authors,Checked By,Constraints / Assumptions,Description of layout algorithm,Domain,Evaluation,Exclude?,Keep,Layout Method fully described in paper,Method Type,Optimization Objectives,Source,Special features,Temporal Model,Title,URL,Venue,Visual/Structural features supported,Year
10.1145/3359852.3359911,"Faria, Pedro Miguel, Moreira, Pedro Miguel, Cardoso, Sandra, Morais, Roberto",Henry,,,,,No,No,No,,,ACM,,,Visual Engagement and Historical Accuracy in a Production for a Video Mapping Projection,https://doi.org/10.1145/3359852.3359911,Proceedings of the 9th International Conference on Digital and Interactive Arts,,2020
10.1145/3379155.3391326,"Kurzhals, Kuno, Rodrigues, Nils, Koch, Maurice, Stoll, Michael, Bruhn, Andres, Bulling, Andreas, Weiskopf, Daniel",Henry,,,,,No,No,No,,,ACM,,,Visual Analytics and Annotation of Pervasive Eye Tracking Video,https://doi.org/10.1145/3379155.3391326,ACM Symposium on Eye Tracking Research and Applications,,2020
10.1145/3448017.3457382,"Kurzhals, Kuno",Henry,,,,,No,No,No,,,ACM,,,Image-Based Projection Labeling for Mobile Eye Tracking,https://doi.org/10.1145/3448017.3457382,ACM Symposium on Eye Tracking Research and Applications,,2021
10.1145/1842993.1843004,"Riche, Nathalie Henry, Lee, Bongshin, Chevalier, Fanny",Henry,,,,,No,No,No,,,ACM,,,iChase: supporting exploration and awareness of editing activities on Wikipedia,https://doi.org/10.1145/1842993.1843004,Proceedings of the International Conference on Advanced Visual Interfaces,,2010
10.1145/3025453.3026006,"von Zadow, Ulrich, Dachselt, Raimund",Henry,,,,,No,No,No,,,ACM,,,GIAnT: Visualizing Group Interaction at Large Wall Displays,https://doi.org/10.1145/3025453.3026006,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,,2017
10.1145/3643834.3660728,"Breed, Zo\{e}, van der Putten, Peter, Barati, Bahareh",Henry,,,,,No,No,No,,,ACM,,,Algae Alight: Exploring the Potential of Bioluminescence through Bio-kinetic Pixels,https://doi.org/10.1145/3643834.3660728,Proceedings of the 2024 ACM Designing Interactive Systems Conference,,2024
10.1145/3127404.3127415,"Qiang, Lu, Bingjie, Chai, Longlong, Mao, GaoFeng, Zhang, Xun, Luo",Henry,,,,,No,No,No,,,ACM,,,Dynamic Collaboration Modeling and Visualization,https://doi.org/10.1145/3127404.3127415,Proceedings of the 12th Chinese Conference on Computer Supported Cooperative Work and Social Computing,,2017
10.1145/2835238.2835241,"Huynh, An, Thain, Douglas, Peric\`{a}s, Miquel, Taura, Kenjiro",Henry,,,,,No,No,No,,,ACM,,,DAGViz: a DAG visualization tool for analyzing task-parallel program traces,https://doi.org/10.1145/2835238.2835241,Proceedings of the 2nd Workshop on Visual Performance Analysis,,2015
10.1145/2399016.2399143,"Pammer, Viktoria, Edler, Stefan, Stern, Hermann",Henry,,,,,No,No,No,,,ACM,,,Visualising the fragmentation of knowledge work,https://doi.org/10.1145/2399016.2399143,Proceedings of the 7th Nordic Conference on Human-Computer Interaction: Making Sense Through Design,,2012
10.1145/3594441.3594474,"Li, Weilin, Wang, Zhongrui",Henry,,,,,No,No,No,,,ACM,,,Visualization Analysis on Intellectual Structures and Research Fronts of “Cinemetrics”: Quantitative Film Studies,https://doi.org/10.1145/3594441.3594474,Proceedings of the 2023 8th International Conference on Information and Education Innovations,,2023
